titres_potions;liens;desc_globale;effects;Groupes_actions;difficulté;Propriété_chimique;Couleur;inventeur;ingredients;premiere_apparition;lien_image
Potion des flammes violettes;https://harrypotter.fandom.com/fr/wiki/Potion_des_flammes_violettes;La potion des flammes violettes est une potion qui permet à celui qui la boit de passer au travers de flammes violettes sans se brûler. Severus Rogue prépare cette potion pour pouvoir passer les flammes violettes qui font partie des protections de la Pierre philosophale. Dans la nuit du 4 au 5...;Protège des flammes violettes;Fortifiant;Avancé;Liquide;Violet;;0;Harry Potter à l'école des sorciers;https://static.wikia.nocookie.net/harrypotter/images/a/a5/Potion_des_flammes_violettes.jpg/revision/latest?cb=20151124130908&path-prefix=fr
Solution de Force;https://harrypotter.fandom.com/fr/wiki/Solution_de_Force;La solution de Force (  angl.  Strengthening Solution ) est une potion qui augmente probablement la force de celui qui la boit. Deux jours sont nécessaires pour préparer une potion de Force efficace.[réf. nécessaire] Les élèves de cinquième année préparent une solution de Force en cours de...;Augmente la force;Fortifiant;Intermédiaire;Liquide;Inconnue;;['Sang de salamandre', 'Ongle de griffon'];Harry Potter et l'Ordre du Phénix;
Potion fortifiante;https://harrypotter.fandom.com/fr/wiki/Potion_fortifiante;La potion fortifiante (  angl.  Girding Potion ) est une potion redonnant des forces à celui qui la boit. À Poudlard, cette potion est enseignée aux élèves de troisième année. Dans un chaudron rempli d'eau et sur le feu : Ajouter une aile de fée pour que la potion devienne verte. Chauffer...;Augmente la force;Fortifiant;Intermédiaire;Liquide;Rouge;;['Hippocampe volant', 'Thorax de libellules grillés', 'Aile de fée', 'Oeuf de Doxy'];Harry Potter et le prisonnier d'Azkaban (jeu);https://static.wikia.nocookie.net/harrypotter/images/b/be/Potion_fortifiante.jpg/revision/latest/scale-to-width-down/350?cb=20170430122816&path-prefix=fr
Potions à base de fromage;https://harrypotter.fandom.com/fr/wiki/Potions_%C3%A0_base_de_fromage;Des potions à base de fromage (  angl.  Cheese-Based Potions ) sont, comme leur nom l'indique, des potions dont l'ingrédient principal est le fromage.;Nourrit;Fortifiant;Débutant;Liquide;Jaune;;['Fromage'];Site officiel de J.K. Rowling;
Potion fungiface;https://harrypotter.fandom.com/fr/wiki/Potion_fungiface;La potion fungiface (  angl.  Fungiface Potion ) est une potion qui fait pousser des champignons sur le visage de la personne ou de la créature qui la boit.;Fait pousser des champignons sur le visage;Poison;Débutant;Liquide;Rose;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/b/bc/Potion_fungiface.jpg/revision/latest?cb=20151124164901&path-prefix=fr
Remède contre les furoncles;https://harrypotter.fandom.com/fr/wiki/Rem%C3%A8de_contre_les_furoncles;Le remède contre les furoncles (  angl.  Cure for Boils ) est, comme son nom l'indique, une potion qui permet de soigner les furoncles. Elle annule également les effets du sortilège de Furonculose. Ajouter 6 crochets de serpent dans le mortier. Écraser à l'aide du pilon pour obtenir une poudre...;Soigne les furoncles;Soin;Débutant;Liquide;Bleu;;['Épine de porc-épic', 'Poudre verte', 'Ortie séchée', 'Limace à cornes', 'Mucus de Veracrasse', 'Liquide brun', 'Crochet de serpent'];Harry Potter à l'école des sorciers;https://static.wikia.nocookie.net/harrypotter/images/b/b0/Rem%C3%A8de_contre_les_furoncles.png/revision/latest?cb=20170227113722&path-prefix=fr
Gaz Étrangleur;https://harrypotter.fandom.com/fr/wiki/Gaz_%C3%89trangleur;Le Gaz Étrangleur (  angl.  Garrotting Gas ) est une potion qui répand un nuage de gaz faisant s'évanouir toute personne se trouvant dans son rayon d'action. Fred et George Weasley prévoient de lâcher du Gaz Étrangleur dans Poudlard avant de s'enfuir de l'école, mais finissent par abandonner...;Provoque un évanouissement;Hallucinogène;Débutant;Liquide;Vert;;0;Harry Potter et l'Ordre du Phénix;https://static.wikia.nocookie.net/harrypotter/images/2/26/Gaz_%C3%89trangleur.jpg/revision/latest?cb=20161013160318&path-prefix=fr
Potion de Haine;https://harrypotter.fandom.com/fr/wiki/Potion_de_Haine;La Potion de Haine (  angl.  Hate Potion ) est une potion qui révèle les pires défauts et habitudes d'une personne visée aux yeux du buveur. D'après The Daily Prophet newsletters, au cours des années 1990, la Gazette du sorcier conseille cette potion aux sorcières et sorciers qui voudraient se...;Révèle les défauts;Contrôle-mental;Débutant;Liquide;Inconnue;;0;The Daily Prophet newsletters;
Potion d'haleine de chien;https://harrypotter.fandom.com/fr/wiki/Potion_d%27haleine_de_chien;La potion d'haleine de chien (  angl.  Dogbreath Potion ) est un breuvage magique qui donne au buveur un souffle de feu temporaire.;Provoque un souffle de feu;Pouvoir quelconque;Intermédiaire;Liquide;Violet;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/0/04/Potion_d%27haleine_de_chien.jpg/revision/latest?cb=20120404190127&path-prefix=fr
Herbicide;https://harrypotter.fandom.com/fr/wiki/Herbicide;L'Herbicide est une potion qui est utilisée pour tuer ou abîmer les plantes. La recette est présente dans le livre Potions magiques d'Arsenius Beaulitron. Ajouter quatre échines de poisson-diable dans le mortier Écraser à l'aide du pilon pour obtenir une poudre grossière Ajouter deux mesures de...;Détruit les plantes;Poison;Débutant;Liquide;Vert;;['Ingrédient standard', 'Mucus de Veracrasse', 'Jus de Horglup', 'Épine de poisson-diable'];Harry Potter à l'école des sorciers (jeu);https://static.wikia.nocookie.net/harrypotter/images/d/d0/Herbicide.png/revision/latest?cb=20120415122720&path-prefix=fr
Potion à Hérisser les Cheveux;https://harrypotter.fandom.com/fr/wiki/Potion_%C3%A0_H%C3%A9risser_les_Cheveux;La potion à Hérisser les Cheveux (  angl.  Hair-Raising Potion ), parfois appelée potion pour la pousse des cheveux, est une potion qui fait dresser les cheveux sur la tête. Severus Rogue donne un devoir de potions aux élèves de deuxième année qui concerne la potion à Hérisser les Cheveux. La...;Fait dresser les cheveux sur la tête;Pouvoir quelconque;Intermédiaire;Liquide;Vert;;['Queue de rat'];Harry Potter et la Chambre des Secrets;https://static.wikia.nocookie.net/harrypotter/images/3/3b/Hair-Raising_Potion.jpg/revision/latest?cb=20120403162645&path-prefix=fr
Potion d'Hilarité;https://harrypotter.fandom.com/fr/wiki/Potion_d%27Hilarit%C3%A9;La potion d'Hilarité provoque une incontrôlable hilarité. Cette potion requiert une grande finesse. Mal préparée, les résultats peuvent varier d'une folie hystérique à une profonde et inconsolable mélancolie.;Rend hilare;Affaiblissant;Intermédiaire;Liquide;Inconnue;;0;Wonderbook : Le Livre des Potions;
Décoction Hoqueteuse;https://harrypotter.fandom.com/fr/wiki/D%C3%A9coction_Hoqueteuse;Malefoy rangeait déjà ses affaires, la mine grincheuse. Slughorn avait qualifié sa décoction Hoqueteuse de simplement passable.Cours de potions La décoction Hoqueteuse (  angl.  Hiccoughing Solution ) est une potion qui provoque probablement le hoquet. Le jour du permis de transplanage, seuls...;Provoque le hoquet;Affaiblissant;Intermédiaire;Liquide;Jaune;;0;Harry Potter et le Prince de Sang-Mêlé;https://static.wikia.nocookie.net/harrypotter/images/4/4f/D%C3%A9coction_Hoqueteuse.png/revision/latest?cb=20150718132306&path-prefix=fr
Infusion infecte;https://harrypotter.fandom.com/fr/wiki/Infusion_infecte;L'infusion infecte (  angl.  Foul Brew ) est un mélange de plusieurs ingrédients de potions nauséabonds. Drago Malefoy semble être en mesure de la préparer. Parmi ses ingrédients figurent des champignons et des plumes.;Poison;Poison;Intermédiaire;Liquide;Vert;;['Champignon', 'Plume'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/8/8e/Infusion_infecte.jpg/revision/latest?cb=20120404161936&path-prefix=fr
Potion jaillissante;https://harrypotter.fandom.com/fr/wiki/Potion_jaillissante;La potion jaillissante (  angl.  Erumpent Potion ) est une potion aux effets vraisemblablement dangereux.;Dangereux;Effet externe;Débutant;Liquide;Vert;;['Éruptif'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/4/4e/Potion_jaillissante.jpg/revision/latest?cb=20151115113133&path-prefix=fr
Baume de lewisie brûlante;https://harrypotter.fandom.com/fr/wiki/Baume_de_lewisie_br%C3%BBlante;Le baume de lewisie brûlante (  angl.  Burning Bitterroot Balm ) est probablement un médicament magique.;Soigne;Soin;Avancé;Liquide;Bleu;;['Lewisie'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/7/74/Baume_de_lewisie_br%C3%BBlante.jpg/revision/latest?cb=20151128140146&path-prefix=fr
Potion capillaire Lissenplis;https://harrypotter.fandom.com/fr/wiki/Potion_capillaire_Lissenplis;La potion capillaire Lissenplis (  angl.  Sleekeazy's Hair Potion ) est une potion qui permet de rendre les cheveux lisses et soyeux. Selon Harry Potter, le coffret ultime, la potion Lissenplis est fabriquée en Chine. Selon le même coffret, cette potion est créée à base de Gomas Barbadensis, de...;Permet de rendre les cheveux lisses et soyeux;Fortifiant;Intermédiaire;Liquide;Inconnue;Fleamont Potter;['Gomas Barbadensis', 'Cheveux de dragon asiatique', 'Gelée de pétrole'];Harry Potter et la Coupe de Feu;https://static.wikia.nocookie.net/harrypotter/images/0/02/Potion_capillaire_Lissenplis.jpg/revision/latest/scale-to-width-down/350?cb=20200406155832&path-prefix=fr
Élixir de longue vie;https://harrypotter.fandom.com/fr/wiki/%C3%89lixir_de_longue_vie;L'élixir de longue vie (  angl.  Elixir of Life ) est un breuvage magique qui prolonge l'existence de celui qui le boit. L'élixir de longue vie est fabriqué à partir de la Pierre philosophale. Il prolonge l'existence mais il doit être pris régulièrement pour maintenir son immortalité. Selon Les...;Prolonge l'existence;Fortifiant;Avancé;Liquide;Rose;;['Pierre philosophale'];Harry Potter à l'école des sorciers;https://static.wikia.nocookie.net/harrypotter/images/0/00/%C3%89lixir_de_longue_vie.jpg/revision/latest?cb=20160529093403&path-prefix=fr
Mélange malveillant;https://harrypotter.fandom.com/fr/wiki/M%C3%A9lange_malveillant;Le mélange malveillant (  angl.  Malevolent Mixture ) est un breuvage magique qui agit vraisemblablement comme un poison ou a d'autres effets néfastes.;Poison;Poison;Débutant;Liquide;Noir;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/f/f6/M%C3%A9lange_malveillant.jpg/revision/latest?cb=20151119201657&path-prefix=fr
Philtre régénérateur à la mandragore;https://harrypotter.fandom.com/fr/wiki/Philtre_r%C3%A9g%C3%A9n%C3%A9rateur_%C3%A0_la_mandragore;Le philtre régénérateur à la mandragore (  angl.  Mandrake Restorative Draught ) est une potion qui est fabriquée à partir de mandragores ayant atteint leur maturité et qui permet de guérir les personnes qui ont été pétrifiées. En 1992, Gilderoy Lockhart souhaite se charger de la préparation de...;Guérit ceux qui ont été pétrifiés;Antidote;Avancé;Liquide;Inconnue;;['Mandragore'];Harry Potter et la Chambre des Secrets;
Mélange de bouse de dragon et d'engrais;https://harrypotter.fandom.com/fr/wiki/M%C3%A9lange_de_bouse_de_dragon_et_d%27engrais;Le mélange de bouse de dragon et d'engrais (  angl.  mixture of dragon-dung and fertilisers ) est une expérience de Neville Londubat. Ce mélange a pour effet de provoquer la croissance d'une plante à une très grande vitesse, mais tout en lui donnant des proportions alarmantes. Vers le début de...;Fertilise;Jardin;Débutant;Liquide;Marron;Neville Londubat;['Bouse de dragon', 'Engrais'];Harry Potter et l'Ordre du Phénix (jeu);
Potion de Mémoire;https://harrypotter.fandom.com/fr/wiki/Potion_de_M%C3%A9moire;La potion de Mémoire (  angl.  Memory Potion ) est une potion qui permet à celui qui l'absorbe d'améliorer l'accès à ses souvenirs. D'après Harry Potter : Secret à Poudlard, les ingrédients nécessaires pour concocter la potion de Mémoire sont des feuilles d'alihotsy, de la menthe poivrée, de la...;Stimule la mémoire;Fortifiant;Avancé;Liquide;Doré;;"['Menthe', 'Perce-neige', 'Mandragore', ""Feuilles d'alihotsy"", ""Oeil d'anguille"", 'Sauge', 'Plume de Jobarbille']";Les Animaux fantastiques;https://static.wikia.nocookie.net/harrypotter/images/9/9b/Potion_de_M%C3%A9moire.jpg/revision/latest?cb=20161027184224&path-prefix=fr
Potion de Mort;https://harrypotter.fandom.com/fr/wiki/Potion_de_Mort;La potion de Mort (  angl.  Death potion ) est un liquide magique utilisé dans les Cellules de la mort du MACUSA. Selon le film Les Animaux fantastiques, la potion de Mort est un liquide noir et bouillonnant. Le MACUSA s'en sert dans ses cellules de condamnation à mort. Les bourreaux extraient...;Mortel;Poison;Intermédiaire;Liquide;Noir;;0;Les Animaux fantastiques (film);https://static.wikia.nocookie.net/harrypotter/images/7/7a/Potion_de_Mort.gif/revision/latest/scale-to-width-down/350?cb=20200826152624&path-prefix=fr
Philtre de Mort Vivante;https://harrypotter.fandom.com/fr/wiki/Philtre_de_Mort_Vivante;Le philtre de Mort Vivante (  angl.  Draught of Living Death ) est une potion magique de somnifère également appelée la Goutte du Mort vivant. L'antidote est la potion Wiggenweld. À mi-chemin de la préparation, on obtient un liquide satiné, couleur cassis. Puis la couleur devient lilas. La...;Somnifère;Hallucinogène;Intermédiaire;Liquide;Blanc;;"['Cervelle de paresseux', 'Liquide blanc', 'Fève sopophorique', 'Mucus de Veracrasse', 'Asphodèle', ""Infusion d'armoise"", ""Infusion d'armoise"", 'Liquide violet', 'Poudre rose', 'Crochet de serpent', 'Valériane']";Harry Potter à l'école des sorciers;https://static.wikia.nocookie.net/harrypotter/images/2/28/Philtre_de_Mort_Vivante_2.jpg/revision/latest/scale-to-width-down/350?cb=20151205163649&path-prefix=fr
Mélange de poudre d'argent et de dictame;https://harrypotter.fandom.com/fr/wiki/M%C3%A9lange_de_poudre_d%27argent_et_de_dictame;Un mélange de poudre d'argent et de dictame (  angl.  mixture of powdered silver and dittany ) permet de sceller une morsure de loup-garou, évitant ainsi que la victime ne saigne à mort. Toutefois, certains sorciers auraient préféré mourir de leurs blessures plutôt que de vivre en étant atteint...;Scelle une morsure de loup-garou;Soin;Débutant;Liquide;Inconnue;;"['Dictame', ""Poudre d'argent""]";Pottermore;
Nettoie-Tout magique de la Mère Grattesec;https://harrypotter.fandom.com/fr/wiki/Nettoie-Tout_magique_de_la_M%C3%A8re_Grattesec;Le Nettoie-Tout magique de la Mère Grattesec (  angl.  Mrs. Skower's All-Purpose Magical Mess Remover ), également connue sous le nom de Magicprop de madame Prop (  angl.  Mrs Skower's Magical Mess Remover ), est une potion de nettoyage. D'après le jeu Harry Potter et la Chambre des Secrets sur...;Enlève les taches;Outil;Intermédiaire;Liquide;Violet;;0;Harry Potter et la Chambre des Secrets;https://static.wikia.nocookie.net/harrypotter/images/e/e2/Solution_de_Nettoyage.jpg/revision/latest?cb=20161029112616&path-prefix=fr
Potion de nettoyage;https://harrypotter.fandom.com/fr/wiki/Potion_de_nettoyage;La potion de nettoyage (  angl.  cleaning potion ) est le nom générique de potions qui permettent de faire le ménage. Nettoie-Tout magique de la mère Grattesec Détergents magiques contenant des sécrétions diluées de Bandimon Fausses potions de nettoyage d'Erica Stainwright;Nettoie;Outil;Intermédiaire;Liquide;Incolore;Erica Stainwright;0;Site officiel de J.K. Rowling;
Potion Oculus;https://harrypotter.fandom.com/fr/wiki/Potion_Oculus;La potion Oculus (  angl.  Oculus Potion ) est un breuvage magique qui améliore la vision de celui qui le boit. Cette potion permet également de neutraliser les effets du sortilège de Conjonctivite. Dans un chaudron rempli d'eau et sur le feu : Secouer une fiole d'infusion d'armoise puis ajouter...;Améliore la vision;Fortifiant;Débutant;Liquide;Orange;;"['Poudre bleue', 'Mandragore', ""Infusion d'armoise"", 'Corne de licorne']";Harry Potter et le Prince de Sang-Mêlé (jeu);https://static.wikia.nocookie.net/harrypotter/images/0/04/Potion_Oculus.gif/revision/latest/scale-to-width-down/350?cb=20160226133445&path-prefix=fr
Potion de l'Œil Vif;https://harrypotter.fandom.com/fr/wiki/Potion_de_l%27%C5%92il_Vif;La potion de l'Œil Vif (  angl.  Wideye Potion ), aussi appelée potion d'Éveil (  angl.  Awakening Potion ), est une potion qui empêche le sommeil ou fait reprendre connaissance après une sédation ou un coup sur la tête. La recette est présente dans le livre Potions magiques d'Arsenius...;Réveil;Antidote;Débutant;Liquide;Vert;;['Ingrédient standard', 'Dard séché de Billywig', 'Tue-loup', 'Crochet de serpent'];Pottermore;https://static.wikia.nocookie.net/harrypotter/images/d/d3/Potion_de_l%27%C5%92il_Vif.png/revision/latest?cb=20120415115223&path-prefix=fr
Philtre de Paix;https://harrypotter.fandom.com/fr/wiki/Philtre_de_Paix;Le philtre de Paix (  angl.  Draught of Peace ) est une potion utilisée pour calmer l'anxiété et apaiser l'agitation de la personne qui la boit. Le philtre de Paix est une potion qui est souvent demandée aux épreuves de BUSE de potions. Dans un chaudron rempli d'eau et sur le feu : Ajouter de la...;Calmant;Fortifiant;Intermédiaire;Liquide;Blanc;;"['Poudre bleue', 'Liquide brun', 'Mandragore', 'Poudre rose', 'Pierre de lune', ""Sirop d'ellébore""]";Harry Potter et l'Ordre du Phénix;https://static.wikia.nocookie.net/harrypotter/images/4/40/Philtre_de_Paix.jpg/revision/latest/scale-to-width-down/350?cb=20170430131229&path-prefix=fr
Panacée;https://harrypotter.fandom.com/fr/wiki/Panac%C3%A9e;La panacée (  angl.  panacea ), également connue en tant que perfect medecine (  trad. approx.  médecine parfaite ), est une potion censée être un remède universel. D'après un traité d'alchimie mentionné dans un livre qui apparait dans le film Harry Potter à l'école des sorciers, les...;"[""Guérir toutes les maladies"", ""Rendre immortel""]";Soin;Avancé;Liquide;Jaune;Alchimistes;['Vinaigre', 'Sel', 'Urine', 'Sal ammoniac', 'Soufre vif'];Harry Potter à l'école des sorciers (film);
Baume de pâquerettes;https://harrypotter.fandom.com/fr/wiki/Baume_de_p%C3%A2querettes;La baume de pâquerettes (  angl.  Bruisewort Balm ) est un baume vraisemblablement fait à partir de pâquerettes.;Soigne;Soin;Débutant;Liquide;Bleu;;['Pâquerette'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/d/d3/Baume_de_p%C3%A2querettes.jpg/revision/latest?cb=20151117120756&path-prefix=fr
Potion Pare-feu;https://harrypotter.fandom.com/fr/wiki/Potion_Pare-feu;La potion Pare-feu (  angl.  Fire Protection Potion ) est une potion qui a pour effet de protéger le buveur du feu. Couper le Champignon explosif. Ajouter le Champignon explosif coupé. Remuer dans le sens des aiguilles d'une montre jusqu'à ce que la potion devienne bleue. Ajouter le Sang de...;Protège du feu;Fortifiant;Débutant;Liquide;Rouge;;['Sang de salamandre', 'Champignon explosif', 'Champignon à verrues'];LEGO Harry Potter : Années 1 à 4;https://static.wikia.nocookie.net/harrypotter/images/6/60/Potion_Pare-feu.jpg/revision/latest?cb=20151124135647&path-prefix=fr
Poison pernicieux;https://harrypotter.fandom.com/fr/wiki/Poison_pernicieux;Le poison pernicieux (  angl.  Noxious Potion ) est un breuvage magique qui peut nuire au buveur. Cette potion produit des nuages ​de fumée verte une fois finie.;Poison;Poison;Intermédiaire;Fumant;Vert;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/2/2e/Poison_pernicieux.jpg/revision/latest?cb=20151124214000&path-prefix=fr
Pimentine;https://harrypotter.fandom.com/fr/wiki/Pimentine;La Pimentine (  angl.  Pepperup Potion ) est une potion qui permet de soigner le rhume, mais a pour effet secondaire de faire fumer les oreilles pendant plusieurs heures. Bien que la Pimentine ait été inventée par Glover Hipworth, c'est Linfred de Stinchcombe qui en serait à l'origine. Madame...;Soigne le rhume;Soin;Débutant;Liquide;Rouge;Glover Hipworth;0;Harry Potter et la Chambre des Secrets;https://static.wikia.nocookie.net/harrypotter/images/b/b9/Pepperup_Potion.png/revision/latest?cb=20120511172802&path-prefix=fr
Antidote aux Poisons Courants;https://harrypotter.fandom.com/fr/wiki/Antidote_aux_Poisons_Courants;L'antidote aux Poisons Courants (  angl.  Antidote to Common Poisons ) est une potion qui annule l'effet des poisons. Ajouter 1 bézoard dans le mortier. Écraser à l'aide du pilon pour obtenir une poudre très fine. Ajouter 4 mesures du Bézoard écrasé dans le chaudron. Ajouter 2 mesures de...;Antidote aux poisons;Antidote;Intermédiaire;Liquide;Bleu;;['Baie de gui', 'Ingrédient standard', 'Menthe', 'Mandragore', 'Poudre rose', 'Bézoard', 'Corne de licorne', 'Hydromel'];Harry Potter à l'école des sorciers (jeu);https://static.wikia.nocookie.net/harrypotter/images/7/7c/Antidote_aux_Poisons_Courants.png/revision/latest?cb=20220504083421&path-prefix=fr
Antidote des poisons rares;https://harrypotter.fandom.com/fr/wiki/Antidote_des_poisons_rares;L'antidote des poisons rares (  angl.  Antidote to Uncommon Poisons ) est une potion permettant de stopper les effets de certains poisons peu communs. Severus Rogue demande à ses élèves de réunir les ingrédients nécessaires à la préparation de cette potion pour leur prochain cours, durant lequel...;Antidote aux poisons rares;Antidote;Débutant;Liquide;Vert;;['Graine de feu', 'Dard séché de Billywig', 'Carapace de Ciseburine', 'Corne de Grapcorne'];Harry Potter et le prisonnier d'Azkaban (jeu);https://static.wikia.nocookie.net/harrypotter/images/2/2e/Antidote_des_poisons_rares.png/revision/latest?cb=20231021124143&path-prefix=fr
Polynectar;https://harrypotter.fandom.com/fr/wiki/Polynectar;Le Polynectar (  angl.  Polyjuice Potion ) est une potion qui permet à un sorcier de prendre temporairement l'apparence d'un autre être humain. La potion est réservée aux métamorphoses humaines : un humain ne peut pas l'utiliser pour devenir un animal et un demi-géant ne peut pas l'utiliser pour...;Permet à un humain de prendre l'apparence d'un autre humain durant une heure;Métamorphose;Avancé;Pateux;Vert;;"['Sangsue', ""Peau de serpent d'arbre du Cap"", 'Corne de bicorne', 'Chrysope cuite', 'Sisymbre', 'Touffe de Polygonum', ""Élément du corps de la personne dont on souhaite prendre l'apparence""]";Harry Potter et la Chambre des Secrets;https://static.wikia.nocookie.net/harrypotter/images/c/c5/B2C12M2.jpg/revision/latest/scale-to-width-down/350?cb=20170906162203&path-prefix=fr
Pommade pommadante Grégoire;https://harrypotter.fandom.com/fr/wiki/Pommade_pommadante_Gr%C3%A9goire;La pommade pommadante Grégoire (  angl.  Gregory's Unctuous Unction ) est une potion inventée par Gregory le Hautain qui persuade celui qui l'utilise que celui qui la lui a offerte est son meilleur ami. Gregory le Hautain aurait utilisé cette pommade pour infiltrer la cour du Roi Richard et...;Persuade celui qui l'utilise que celui qui la lui a offerte est son meilleur ami;Contrôle-mental;Intermédiaire;Liquide;Vert;Gregory le Hautain;0;Harry Potter et la Chambre des Secrets (jeu);https://static.wikia.nocookie.net/harrypotter/images/6/6c/Pommade_pommadante_Gr%C3%A9goire_-_HPSP.png/revision/latest?cb=20230901071129&path-prefix=fr
Potion de cautérisation;https://harrypotter.fandom.com/fr/wiki/Potion_de_caut%C3%A9risation;Elle nettoya la coupure avec une compresse imbibée d'un liquide violet qui fumait et piquait la peau, puis elle lui toucha l’épaule avec sa baguette magique et il sentit que sa blessure guérissait instantanément.Madame Pomfresh soignant la blessure de Harry Potter La potion de cautérisation...;Antiseptique;Soin;Avancé;Fumant;Violet;;0;Harry Potter et la Coupe de Feu;https://static.wikia.nocookie.net/harrypotter/images/c/c8/Potion_de_caut%C3%A9risation_%28HPSP%29.png/revision/latest/scale-to-width-down/350?cb=20230902180512&path-prefix=fr
Potion de Regermination;https://harrypotter.fandom.com/fr/wiki/Potion_de_Regermination;La Potion de Regermination (  angl.  Regerminating Potion ) est une potion pour plante créée par le célèbre botaniste Tilden Toots. D'après le site officiel de J.K. Rowling, Tilden Toots annonce dans son émission radiophonique Toots, Shoots 'n' Roots avoir reçu une lettre de Georgina Smyth qui...;Redonne à une plante morte la capacité de germer;Jardin;Avancé;Liquide;Vert;Tilden Toots;0;Site officiel de J.K. Rowling;https://static.wikia.nocookie.net/harrypotter/images/f/ff/Regerminating_Potion.jpg/revision/latest?cb=20170901150554&path-prefix=fr
Potion de Rejutage;https://harrypotter.fandom.com/fr/wiki/Potion_de_Rejutage;La Potion de Rejutage (  angl.  Rejuicing Potion ) est une potion pour plante créée par le célèbre botaniste Tilden Toots. D'après le site officiel de J.K. Rowling, Tilden Toots annonce dans son émission radiophonique Toots, Shoots 'n' Roots avoir reçu une lettre de Georgina Smyth qui n'aurait...;Redonne à une plante morte la capacité de produire du jus;Jardin;Intermédiaire;Liquide;Rouge;Tilden Toots;0;Site officiel de J.K. Rowling;https://static.wikia.nocookie.net/harrypotter/images/7/79/Rejuicing_Potion.jpg/revision/latest?cb=20170901150555&path-prefix=fr
Potion Potiron;https://harrypotter.fandom.com/fr/wiki/Potion_Potiron;La potion Potiron (  angl.  Pompion Potion ) est une potion qui a pour effet d'enfermer temporairement la tête du buveur dans une citrouille. Écraser le Pipaillon de nuit. Ajouter le Pipaillon de nuit écrasé dans le chaudron. Remuer dans le sens des aiguilles d'une montre jusqu'à ce que la...;Enferme la tête dans une citrouille;Affaiblissant;Débutant;Liquide;Orange;;['Pipaillon de nuit', 'Digitale', 'Bulbe sauteur'];LEGO Harry Potter : Années 1 à 4;https://static.wikia.nocookie.net/harrypotter/images/0/09/Potion_Potiron.gif/revision/latest?cb=20150423112503&path-prefix=fr
Poussos;https://harrypotter.fandom.com/fr/wiki/Poussos;Le Poussos (  angl.  Skele-Gro ) est une potion servant à réparer ou à faire repousser les os. Madame Pomfresh donne du Poussos à Harry Potter après l'intervention de Gilderoy Lockhart, qui a fait disparaître accidentellement les os de ce dernier. Fleur Delacour donne du Poussos à Gripsec, après...;Reconstitue les os;Soin;Intermédiaire;Liquide;Blanc;Linfred de Stinchcombe;['Scarabée', 'Chou mordeur de Chine', 'Oeil de poisson-hérisson'];Harry Potter et la Chambre des Secrets;https://static.wikia.nocookie.net/harrypotter/images/8/8b/Poussos.png/revision/latest?cb=20131006133747&path-prefix=fr
Potion à priser;https://harrypotter.fandom.com/fr/wiki/Potion_%C3%A0_priser;La potion à priser (  angl.  Snuffling Potion ) est une potion qui provoque un reniflement incontrôlable.;Reniflement incontrôlable;Contrôle-mental;Intermédiaire;Liquide;Rose;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/9/9f/Potion_%C3%A0_priser.jpg/revision/latest?cb=20151124140245&path-prefix=fr
Produit contre les limaces mangeuses de chair;https://harrypotter.fandom.com/fr/wiki/Produit_contre_les_limaces_mangeuses_de_chair;Le produit contre les limaces mangeuses de chair (  angl.  Flesh-Eating Slug Repellent ) est un pesticide visant à neutraliser ces créatures. Le produit contre les limaces mangeuses de chair est un répulsif qui peut s'acheter dans l'Allée des Embrumes. Dans le jeu Harry Potter : Secret à...;Neutralise les limaces mangeuses de chair;Poison;Intermédiaire;Liquide;Noir;;0;Harry Potter et la Chambre des Secrets;https://static.wikia.nocookie.net/harrypotter/images/d/df/Produit_contre_les_limaces_mangeuses_de_chair.png/revision/latest?cb=20131006162559&path-prefix=fr
Potion de puissance;https://harrypotter.fandom.com/fr/wiki/Potion_de_puissance;La potion de puissance (  angl.  Strength Potion ) est une potion augmentant considérablement la force de celui qui la boit. Severus Rogue apprend cette potion à des élèves de première année. Solution de Force;Augmente la force;Fortifiant;Avancé;Liquide;Orange;;['Os', 'Crochet de serpent', 'Fleur à corne'];LEGO Harry Potter : Années 1 à 4;https://static.wikia.nocookie.net/harrypotter/images/1/14/Potion_de_puissance.gif/revision/latest/scale-to-width-down/350?cb=20160302143923&path-prefix=fr
Poison de raisin de couleuvre;https://harrypotter.fandom.com/fr/wiki/Poison_de_raisin_de_couleuvre;Le poison de raisin de couleuvre (  angl.  Moonseed Poison ) est un poison vraisemblablement fait à partir de raisin de couleuvre.;Poison;Poison;Intermédiaire;Liquide;Violet;;['Raisin de couleuvre'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/5/5a/Poison_de_raisin_de_couleuvre.JPG/revision/latest?cb=20150322191137&path-prefix=fr
